"","run.order","std.order","x1","x2","x3","x4","x5","x6","Block","lysate_aspirate_height_inc","lysate_aspirate_rate","lysate_dispense_rate","substrates_aspirate_height_inc","substrates_aspirate_rate","substrates_dispense_rate"
"1",1,1,-1,-1,-1,-1,-1,-1,"1",0.1,0.1,0.1,0.3,0.7,0.7
"2",2,2,1,-1,-1,-1,-1,-1,"1",0.6,0.1,0.1,0.3,0.7,0.7
"3",3,3,-1,1,-1,-1,-1,-1,"1",0.1,0.4,0.1,0.3,0.7,0.7
"4",4,4,1,1,-1,-1,-1,-1,"1",0.6,0.4,0.1,0.3,0.7,0.7
"5",5,5,-1,-1,1,-1,-1,-1,"1",0.1,0.1,0.5,0.3,0.7,0.7
"6",6,6,1,-1,1,-1,-1,-1,"1",0.6,0.1,0.5,0.3,0.7,0.7
"7",7,7,-1,1,1,-1,-1,-1,"1",0.1,0.4,0.5,0.3,0.7,0.7
"8",8,8,1,1,1,-1,-1,-1,"1",0.6,0.4,0.5,0.3,0.7,0.7
"9",9,9,-1,-1,-1,1,-1,-1,"1",0.1,0.1,0.1,0.8,0.7,0.7
"10",10,10,1,-1,-1,1,-1,-1,"1",0.6,0.1,0.1,0.8,0.7,0.7
"11",11,11,-1,1,-1,1,-1,-1,"1",0.1,0.4,0.1,0.8,0.7,0.7
"12",12,12,1,1,-1,1,-1,-1,"1",0.6,0.4,0.1,0.8,0.7,0.7
"13",13,13,-1,-1,1,1,-1,-1,"1",0.1,0.1,0.5,0.8,0.7,0.7
"14",14,14,1,-1,1,1,-1,-1,"1",0.6,0.1,0.5,0.8,0.7,0.7
"15",15,15,-1,1,1,1,-1,-1,"1",0.1,0.4,0.5,0.8,0.7,0.7
"16",16,16,1,1,1,1,-1,-1,"1",0.6,0.4,0.5,0.8,0.7,0.7
"17",17,17,-1,-1,-1,-1,1,-1,"1",0.1,0.1,0.1,0.3,1.2,0.7
"18",18,18,1,-1,-1,-1,1,-1,"1",0.6,0.1,0.1,0.3,1.2,0.7
"19",19,19,-1,1,-1,-1,1,-1,"1",0.1,0.4,0.1,0.3,1.2,0.7
"20",20,20,1,1,-1,-1,1,-1,"1",0.6,0.4,0.1,0.3,1.2,0.7
"21",21,21,-1,-1,1,-1,1,-1,"1",0.1,0.1,0.5,0.3,1.2,0.7
"22",22,22,1,-1,1,-1,1,-1,"1",0.6,0.1,0.5,0.3,1.2,0.7
"23",23,23,-1,1,1,-1,1,-1,"1",0.1,0.4,0.5,0.3,1.2,0.7
"24",24,24,1,1,1,-1,1,-1,"1",0.6,0.4,0.5,0.3,1.2,0.7
"25",25,25,-1,-1,-1,1,1,-1,"1",0.1,0.1,0.1,0.8,1.2,0.7
"26",26,26,1,-1,-1,1,1,-1,"1",0.6,0.1,0.1,0.8,1.2,0.7
"27",27,27,-1,1,-1,1,1,-1,"1",0.1,0.4,0.1,0.8,1.2,0.7
"28",28,28,1,1,-1,1,1,-1,"1",0.6,0.4,0.1,0.8,1.2,0.7
"29",29,29,-1,-1,1,1,1,-1,"1",0.1,0.1,0.5,0.8,1.2,0.7
"30",30,30,1,-1,1,1,1,-1,"1",0.6,0.1,0.5,0.8,1.2,0.7
"31",31,31,-1,1,1,1,1,-1,"1",0.1,0.4,0.5,0.8,1.2,0.7
"32",32,32,1,1,1,1,1,-1,"1",0.6,0.4,0.5,0.8,1.2,0.7
"33",33,33,-1,-1,-1,-1,-1,1,"1",0.1,0.1,0.1,0.3,0.7,1.2
"34",34,34,1,-1,-1,-1,-1,1,"1",0.6,0.1,0.1,0.3,0.7,1.2
"35",35,35,-1,1,-1,-1,-1,1,"1",0.1,0.4,0.1,0.3,0.7,1.2
"36",36,36,1,1,-1,-1,-1,1,"1",0.6,0.4,0.1,0.3,0.7,1.2
"37",37,37,-1,-1,1,-1,-1,1,"1",0.1,0.1,0.5,0.3,0.7,1.2
"38",38,38,1,-1,1,-1,-1,1,"1",0.6,0.1,0.5,0.3,0.7,1.2
"39",39,39,-1,1,1,-1,-1,1,"1",0.1,0.4,0.5,0.3,0.7,1.2
"40",40,40,1,1,1,-1,-1,1,"1",0.6,0.4,0.5,0.3,0.7,1.2
"41",41,41,-1,-1,-1,1,-1,1,"1",0.1,0.1,0.1,0.8,0.7,1.2
